date,adm,discharge,hosp
2/18/20 0:00,0,0,0
2/19/20 0:00,0,0,0
2/20/20 0:00,0,0,0
2/21/20 0:00,0,0,0
2/22/20 0:00,0,0,0
2/23/20 0:00,0,0,0
2/24/20 0:00,0,0,0
2/25/20 0:00,0,0,0
2/26/20 0:00,0,0,0
2/27/20 0:00,0,0,0
2/28/20 0:00,0,0,0
2/29/20 0:00,0,0,0
3/1/20 0:00,0,0,0
3/2/20 0:00,0,0,0
3/3/20 0:00,0,0,0
3/4/20 0:00,0,0,0
3/5/20 0:00,0,0,0
3/6/20 0:00,0,0,0
3/7/20 0:00,0,0,0
3/8/20 0:00,0,0,0
3/9/20 0:00,0,0,0
3/10/20 0:00,0,0,0
3/11/20 0:00,1,0,1
3/12/20 0:00,0,0,1
3/13/20 0:00,1,0,2
3/14/20 0:00,0,0,2
3/15/20 0:00,0,0,2
3/16/20 0:00,1,0,3
3/17/20 0:00,1,0,4
3/18/20 0:00,0,0,4
3/19/20 0:00,1,0,5
3/20/20 0:00,4,1,8
3/21/20 0:00,1,0,9
3/22/20 0:00,4,1,12
3/23/20 0:00,5,1,16
3/24/20 0:00,5,0,21
3/25/20 0:00,5,2,24
3/26/20 0:00,11,7,28
3/27/20 0:00,8,6,30
3/28/20 0:00,3,1,32
3/29/20 0:00,9,3,38
3/30/20 0:00,10,4,44
3/31/20 0:00,14,5,53
4/1/20 0:00,8,4,57
4/2/20 0:00,9,6,60
4/3/20 0:00,7,11,56
4/4/20 0:00,10,4,62
4/5/20 0:00,7,7,62
4/6/20 0:00,5,4,63
4/7/20 0:00,5,5,63
4/8/20 0:00,14,9,68
4/9/20 0:00,9,9,68
4/10/20 0:00,4,7,65
4/11/20 0:00,5,5,65
4/12/20 0:00,14,6,73
4/13/20 0:00,11,10,74
4/14/20 0:00,10,8,76
4/15/20 0:00,7,8,75
4/16/20 0:00,8,6,77
4/17/20 0:00,12,13,76
4/18/20 0:00,9,5,80
4/19/20 0:00,5,4,81
4/20/20 0:00,13,12,82
4/21/20 0:00,8,6,84
4/22/20 0:00,4,9,79
4/23/20 0:00,10,13,76
