omicron,immune_evasion,,,delta,immune_evasion
0,0,,,0,0
1,0.000160451,,,1,7.04E-05
2,0.000320901,,,2,0.000140884
3,0.000481352,,,3,0.000211325
4,0.000641803,,,4,0.000281767
5,0.000802254,,,5,0.000352209
6,0.000962704,,,6,0.000422651
7,0.001123155,,,7,0.000493093
8,0.001283606,,,8,0.000563534
9,0.001444057,,,9,0.000633976
10,0.001604507,,,10,0.000704418
11,0.001764958,,,11,0.00077486
12,0.001925409,,,12,0.000845301
13,0.00208586,,,13,0.000915743
14,0.00224631,,,14,0.000986185
15,0.002406761,,,15,0.001056627
16,0.002567212,,,16,0.001127069
17,0.002727663,,,17,0.00119751
18,0.002727663,,,18,0.001267952
19,0.002567212,,,19,0.001338394
20,0.002406761,,,20,0.001408836
21,0.00224631,,,21,0.001479278
22,0.00208586,,,22,0.001549719
23,0.001925409,,,23,0.001620161
24,0.001764958,,,24,0.001690603
25,0.001604507,,,25,0.001761045
26,0.001444057,,,26,0.001831486
27,0.001283606,,,27,0.001901928
28,0.001123155,,,28,0.00197237
29,0.000962704,,,29,0.002042812
30,0.000802254,,,30,0.002113254
31,0.000641803,,,31,0.002183695
32,0.000481352,,,32,0.002254137
33,0.000320901,,,33,0.002324579
34,0.000160451,,,34,0.002395021
35,0,,,35,0.002465463
,,,,36,0.002535904
,,,,37,0.002606346
,,,,38,0.002676788
,,,,39,0.00274723
,,,,40,0.002817671
,,,,41,0.002817671
,,,,42,0.00274723
,,,,43,0.002676788
,,,,44,0.002606346
,,,,45,0.002535904
,,,,46,0.002465463
,,,,47,0.002395021
,,,,48,0.002324579
,,,,49,0.002254137
,,,,50,0.002183695
,,,,51,0.002113254
,,,,52,0.002042812
,,,,53,0.00197237
,,,,54,0.001901928
,,,,55,0.001831486
,,,,56,0.001761045
,,,,57,0.001690603
,,,,58,0.001620161
,,,,59,0.001549719
,,,,60,0.001479278
,,,,61,0.001408836
,,,,62,0.001338394
,,,,63,0.001267952
,,,,64,0.00119751
,,,,65,0.001127069
,,,,66,0.001056627
,,,,67,0.000986185
,,,,68,0.000915743
,,,,69,0.000845301
,,,,70,0.00077486
,,,,71,0.000704418
,,,,72,0.000633976
,,,,73,0.000563534
,,,,74,0.000493093
,,,,75,0.000422651
,,,,76,0.000352209
,,,,77,0.000281767
,,,,78,0.000211325
,,,,79,0.000140884
,,,,80,7.04E-05
,,,,81,0
