date,stage
2/28/20,None
2/29/20,None
3/1/20,None
3/2/20,None
3/3/20,None
3/4/20,None
3/5/20,None
3/6/20,None
3/7/20,None
3/8/20,None
3/9/20,None
3/10/20,None
3/11/20,None
3/12/20,None
3/13/20,None
3/14/20,None
3/15/20,None
3/16/20,None
3/17/20,None
3/18/20,None
3/19/20,None
3/20/20,None
3/21/20,None
3/22/20,None
3/23/20,None
3/24/20,4
3/25/20,4
3/26/20,4
3/27/20,4
3/28/20,4
3/29/20,4
3/30/20,4
3/31/20,4
4/1/20,4
4/2/20,4
4/3/20,4
4/4/20,4
4/5/20,4
4/6/20,4
4/7/20,4
4/8/20,4
4/9/20,4
4/10/20,4
4/11/20,4
4/12/20,4
4/13/20,4
4/14/20,4
4/15/20,4
4/16/20,4
4/17/20,4
4/18/20,4
4/19/20,4
4/20/20,4
4/21/20,4
4/22/20,4
4/23/20,4
4/24/20,4
4/25/20,4
4/26/20,4
4/27/20,4
4/28/20,4
4/29/20,4
4/30/20,4
5/1/20,4
5/2/20,4
5/3/20,4
5/4/20,4
5/5/20,4
5/6/20,4
5/7/20,4
5/8/20,4
5/9/20,4
5/10/20,4
5/11/20,4
5/12/20,4
5/13/20,4
5/14/20,4
5/15/20,4
5/16/20,4
5/17/20,4
5/18/20,4
5/19/20,4
5/20/20,4
5/21/20,2
5/22/20,2
5/23/20,2
5/24/20,2
5/25/20,2
5/26/20,2
5/27/20,2
5/28/20,2
5/29/20,2
5/30/20,2
5/31/20,2
6/1/20,2
6/2/20,2
6/3/20,2
6/4/20,2
6/5/20,2
6/6/20,2
6/7/20,2
6/8/20,2
6/9/20,2
6/10/20,2
6/11/20,2
6/12/20,2
6/13/20,2
6/14/20,2
6/15/20,3
6/16/20,3
6/17/20,3
6/18/20,3
6/19/20,3
6/20/20,3
6/21/20,3
6/22/20,3
6/23/20,3
6/24/20,3
6/25/20,3
6/26/20,3
6/27/20,3
6/28/20,3
6/29/20,3
6/30/20,3
7/1/20,3
7/2/20,3
7/3/20,3
7/4/20,3
7/5/20,3
7/6/20,3
7/7/20,3
7/8/20,3
7/9/20,3
7/10/20,3
7/11/20,3
7/12/20,3
7/13/20,3
7/14/20,3
7/15/20,3
7/16/20,3
7/17/20,3
7/18/20,3
7/19/20,3
7/20/20,3
7/21/20,3
7/22/20,3
7/23/20,3
7/24/20,3
7/25/20,3
7/26/20,3
7/27/20,3
7/28/20,3
7/29/20,3
7/30/20,3
7/31/20,3
8/1/20,3
8/2/20,3
8/3/20,3
8/4/20,3
8/5/20,3
8/6/20,3
8/7/20,3
8/8/20,3
8/9/20,3
8/10/20,3
8/11/20,3
8/12/20,3
8/13/20,3
8/14/20,3
8/15/20,3
8/16/20,3
8/17/20,3
8/18/20,3
8/19/20,3
8/20/20,3
8/21/20,3
8/22/20,3
8/23/20,3
8/24/20,3
8/25/20,2
8/26/20,2
8/27/20,2
8/28/20,2
8/29/20,2
8/30/20,2
8/31/20,2
9/1/20,2
9/2/20,2
9/3/20,2
9/4/20,2
9/5/20,2
9/6/20,2
9/7/20,2
9/8/20,2
9/9/20,2
9/10/20,2
9/11/20,2
9/12/20,2
9/13/20,2
9/14/20,2
9/15/20,2
9/16/20,2
9/17/20,2
9/18/20,2
9/19/20,2
9/20/20,2
9/21/20,2
9/22/20,2
9/23/20,2
9/24/20,2
9/25/20,2
9/26/20,2
9/27/20,2
