,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,0
25,3/13/20,0
26,3/14/20,0
27,3/15/20,0
28,3/16/20,0
29,3/17/20,0
30,3/18/20,0
31,3/19/20,0
32,3/20/20,0
33,3/21/20,0
34,3/22/20,0
35,3/23/20,0
36,3/24/20,1
37,3/25/20,1
38,3/26/20,3
39,3/27/20,3
40,3/28/20,3
41,3/29/20,3
42,3/30/20,4
43,3/31/20,4
44,4/1/20,5
45,4/2/20,5
46,4/3/20,7
47,4/4/20,8
48,4/5/20,11
49,4/6/20,12
50,4/7/20,13
51,4/8/20,14
52,4/9/20,16
53,4/10/20,16
54,4/11/20,19
55,4/12/20,20
56,4/13/20,20
57,4/14/20,23
58,4/15/20,26
59,4/16/20,29
60,4/17/20,33
61,4/18/20,35
62,4/19/20,38
63,4/20/20,39
64,4/21/20,41
65,4/22/20,43
66,4/23/20,46
67,4/24/20,51
68,4/25/20,52
69,4/26/20,55
70,4/27/20,55
71,4/28/20,58
72,4/29/20,58
73,4/30/20,60
74,5/1/20,63
75,5/2/20,66
76,5/3/20,68
77,5/4/20,70
78,5/5/20,71
79,5/6/20,72
80,5/7/20,75
81,5/8/20,79
82,5/9/20,80
83,5/10/20,82
84,5/11/20,87
85,5/12/20,89
86,5/13/20,91
87,5/14/20,92
88,5/15/20,94
89,5/16/20,94
90,5/17/20,95
91,5/18/20,99
92,5/19/20,100
93,5/20/20,102
94,5/21/20,104
95,5/22/20,107
96,5/23/20,108
97,5/24/20,109
98,5/25/20,110
99,5/26/20,112
100,5/27/20,114
101,5/28/20,117
102,5/29/20,119
103,5/30/20,119
104,5/31/20,120
105,6/1/20,121
106,6/2/20,123
107,6/3/20,125
108,6/4/20,126
109,6/5/20,127
110,6/6/20,128
111,6/7/20,129
112,6/8/20,131
113,6/9/20,131
114,6/10/20,133
115,6/11/20,135
116,6/12/20,138
117,6/13/20,140
118,6/14/20,141
119,6/15/20,144
120,6/16/20,147
121,6/17/20,151
122,6/18/20,153
123,6/19/20,155
124,6/20/20,156
125,6/21/20,158
126,6/22/20,159
127,6/23/20,162
128,6/24/20,164
129,6/25/20,166
130,6/26/20,170
131,6/27/20,174
132,6/28/20,179
133,6/29/20,185
134,6/30/20,193
135,7/1/20,199
136,7/2/20,203
137,7/3/20,210
138,7/4/20,217
139,7/5/20,224
140,7/6/20,233
141,7/7/20,247
142,7/8/20,256
143,7/9/20,266
144,7/10/20,276
145,7/11/20,285
146,7/12/20,291
147,7/13/20,296
148,7/14/20,305
149,7/15/20,320
150,7/16/20,339
151,7/17/20,354
152,7/18/20,363
153,7/19/20,372
154,7/20/20,378
155,7/21/20,388
156,7/22/20,401
157,7/23/20,415
158,7/24/20,422
159,7/25/20,431
160,7/26/20,439
161,7/27/20,448
162,7/28/20,458
163,7/29/20,471
164,7/30/20,479
165,7/31/20,490
166,8/1/20,496
167,8/2/20,511
168,8/3/20,519
169,8/4/20,524
170,8/5/20,536
171,8/6/20,542
172,8/7/20,552
173,8/8/20,561
174,8/9/20,566
175,8/10/20,571
176,8/11/20,574
177,8/12/20,578
178,8/13/20,586
179,8/14/20,596
180,8/15/20,599
181,8/16/20,604
182,8/17/20,607
183,8/18/20,612
184,8/19/20,617
185,8/20/20,620
186,8/21/20,627
187,8/22/20,628
188,8/23/20,630
189,8/24/20,635
190,8/25/20,639
191,8/26/20,644
192,8/27/20,647
193,8/28/20,648
194,8/29/20,651
195,8/30/20,657
196,8/31/20,659
197,9/1/20,661
198,9/2/20,662
