,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,0
25,3/13/20,0
26,3/14/20,0
27,3/15/20,0
28,3/16/20,0
29,3/17/20,0
30,3/18/20,0
31,3/19/20,0
32,3/20/20,0
33,3/21/20,0
34,3/22/20,0
35,3/23/20,0
36,3/24/20,1
37,3/25/20,0
38,3/26/20,1
39,3/27/20,0
40,3/28/20,0
41,3/29/20,0
42,3/30/20,0
43,3/31/20,0
44,4/1/20,0
45,4/2/20,0
46,4/3/20,1
47,4/4/20,1
48,4/5/20,1
49,4/6/20,0
50,4/7/20,0
51,4/8/20,1
52,4/9/20,1
53,4/10/20,0
54,4/11/20,3
55,4/12/20,0
56,4/13/20,0
57,4/14/20,2
58,4/15/20,0
59,4/16/20,3
60,4/17/20,0
61,4/18/20,1
62,4/19/20,3
63,4/20/20,1
64,4/21/20,2
65,4/22/20,1
66,4/23/20,1
67,4/24/20,4
68,4/25/20,0
69,4/26/20,1
70,4/27/20,0
71,4/28/20,1
72,4/29/20,0
73,4/30/20,2
74,5/1/20,2
75,5/2/20,3
76,5/3/20,1
77,5/4/20,0
78,5/5/20,1
79,5/6/20,1
80,5/7/20,2
81,5/8/20,1
82,5/9/20,0
83,5/10/20,0
84,5/11/20,4
85,5/12/20,2
86,5/13/20,1
87,5/14/20,0
88,5/15/20,0
89,5/16/20,0
90,5/17/20,1
91,5/18/20,2
92,5/19/20,0
93,5/20/20,2
94,5/21/20,1
95,5/22/20,1
96,5/23/20,1
97,5/24/20,1
98,5/25/20,0
99,5/26/20,1
100,5/27/20,2
101,5/28/20,2
102,5/29/20,1
103,5/30/20,0
104,5/31/20,1
105,6/1/20,0
106,6/2/20,0
107,6/3/20,0
108,6/4/20,0
109,6/5/20,0
110,6/6/20,0
111,6/7/20,0
112,6/8/20,2
113,6/9/20,0
114,6/10/20,2
115,6/11/20,0
116,6/12/20,0
117,6/13/20,0
118,6/14/20,1
119,6/15/20,2
120,6/16/20,2
121,6/17/20,1
122,6/18/20,1
123,6/19/20,1
124,6/20/20,1
125,6/21/20,2
126,6/22/20,0
127,6/23/20,2
128,6/24/20,0
129,6/25/20,2
130,6/26/20,2
131,6/27/20,4
132,6/28/20,3
133,6/29/20,4
134,6/30/20,3
135,7/1/20,4
136,7/2/20,1
137,7/3/20,5
138,7/4/20,3
139,7/5/20,5
140,7/6/20,4
141,7/7/20,4
142,7/8/20,4
143,7/9/20,2
144,7/10/20,6
145,7/11/20,4
146,7/12/20,1
147,7/13/20,2
148,7/14/20,2
149,7/15/20,7
150,7/16/20,5
151,7/17/20,8
152,7/18/20,4
153,7/19/20,2
154,7/20/20,1
155,7/21/20,4
156,7/22/20,3
157,7/23/20,5
158,7/24/20,5
159,7/25/20,2
160,7/26/20,1
161,7/27/20,4
162,7/28/20,3
163,7/29/20,4
164,7/30/20,4
165,7/31/20,4
166,8/1/20,2
167,8/2/20,4
168,8/3/20,5
169,8/4/20,3
170,8/5/20,8
171,8/6/20,3
172,8/7/20,2
173,8/8/20,6
174,8/9/20,2
175,8/10/20,0
176,8/11/20,0
177,8/12/20,1
178,8/13/20,1
179,8/14/20,7
180,8/15/20,1
181,8/16/20,3
182,8/17/20,2
183,8/18/20,3
184,8/19/20,2
185,8/20/20,0
186,8/21/20,5
187,8/22/20,0
188,8/23/20,0
189,8/24/20,3
190,8/25/20,3
191,8/26/20,2
192,8/27/20,1
193,8/28/20,1
194,8/29/20,0
195,8/30/20,3
196,8/31/20,2
197,9/1/20,1
198,9/2/20,0
