,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,1
25,3/13/20,1
26,3/14/20,2
27,3/15/20,2
28,3/16/20,2
29,3/17/20,3
30,3/18/20,4
31,3/19/20,5
32,3/20/20,7
33,3/21/20,9
34,3/22/20,11
35,3/23/20,14
36,3/24/20,18
37,3/25/20,23
38,3/26/20,26
39,3/27/20,30
40,3/28/20,32
41,3/29/20,35
42,3/30/20,42
43,3/31/20,48
44,4/1/20,57
45,4/2/20,62
46,4/3/20,64
47,4/4/20,59
48,4/5/20,65
49,4/6/20,64
50,4/7/20,66
51,4/8/20,67
52,4/9/20,72
53,4/10/20,73
54,4/11/20,70
55,4/12/20,68
56,4/13/20,75
57,4/14/20,75
58,4/15/20,77
59,4/16/20,77
60,4/17/20,79
61,4/18/20,76
62,4/19/20,79
63,4/20/20,80
64,4/21/20,82
65,4/22/20,86
66,4/23/20,83
67,4/24/20,80
68,4/25/20,74
69,4/26/20,76
70,4/27/20,81
71,4/28/20,87
72,4/29/20,90
73,4/30/20,94
74,5/1/20,90
75,5/2/20,86
76,5/3/20,89
77,5/4/20,91
78,5/5/20,96
79,5/6/20,103
80,5/7/20,103
81,5/8/20,98
82,5/9/20,91
83,5/10/20,92
84,5/11/20,93
85,5/12/20,94
86,5/13/20,96
87,5/14/20,96
88,5/15/20,103
89,5/16/20,102
90,5/17/20,104
91,5/18/20,103
92,5/19/20,100
93,5/20/20,102
94,5/21/20,97
95,5/22/20,94
96,5/23/20,88
97,5/24/20,85
98,5/25/20,93
99,5/26/20,96
100,5/27/20,100
101,5/28/20,89
102,5/29/20,85
103,5/30/20,86
104,5/31/20,83
105,6/1/20,95
106,6/2/20,94
107,6/3/20,99
108,6/4/20,92
109,6/5/20,91
110,6/6/20,83
111,6/7/20,89
112,6/8/20,92
113,6/9/20,98
114,6/10/20,111
115,6/11/20,118
116,6/12/20,131
117,6/13/20,125
118,6/14/20,138
119,6/15/20,144
120,6/16/20,146
121,6/17/20,154
122,6/18/20,169
123,6/19/20,181
124,6/20/20,185
125,6/21/20,201
126,6/22/20,218
127,6/23/20,236
128,6/24/20,274
129,6/25/20,293
130,6/26/20,299
131,6/27/20,316
132,6/28/20,351
133,6/29/20,368
134,6/30/20,369
135,7/1/20,376
136,7/2/20,415
137,7/3/20,418
138,7/4/20,434
139,7/5/20,446
140,7/6/20,466
141,7/7/20,469
142,7/8/20,458
143,7/9/20,440
144,7/10/20,438
145,7/11/20,435
146,7/12/20,434
147,7/13/20,459
148,7/14/20,469
149,7/15/20,492
150,7/16/20,479
151,7/17/20,469
152,7/18/20,466
153,7/19/20,480
154,7/20/20,480
155,7/21/20,459
156,7/22/20,453
157,7/23/20,438
158,7/24/20,423
159,7/25/20,409
160,7/26/20,396
161,7/27/20,390
162,7/28/20,370
163,7/29/20,371
164,7/30/20,355
165,7/31/20,338
166,8/1/20,321
167,8/2/20,307
168,8/3/20,310
169,8/4/20,309
170,8/5/20,308
171,8/6/20,297
172,8/7/20,279
173,8/8/20,275
174,8/9/20,278
175,8/10/20,271
176,8/11/20,279
177,8/12/20,275
178,8/13/20,263
179,8/14/20,236
180,8/15/20,228
181,8/16/20,234
182,8/17/20,236
183,8/18/20,230
184,8/19/20,215
185,8/20/20,208
186,8/21/20,190
187,8/22/20,184
188,8/23/20,172
189,8/24/20,171
190,8/25/20,171
191,8/26/20,158
192,8/27/20,159
193,8/28/20,155
194,8/29/20,148
195,8/30/20,139
196,8/31/20,136
197,9/1/20,133
198,9/2/20,125
