,date,hospitalized
0,01/02/20,0
1,01/03/20,0
2,01/04/20,0
3,01/05/20,0
4,01/06/20,0
5,01/07/20,0
6,01/08/20,0
7,01/09/20,0
8,01/10/20,0
9,01/11/20,0
10,01/12/20,0
11,01/13/20,0
12,01/14/20,0
13,01/15/20,0
14,01/16/20,0
15,01/17/20,0
16,01/18/20,0
17,01/19/20,0
18,01/20/20,0
19,01/21/20,0
20,01/22/20,0
21,01/23/20,0
22,01/24/20,0
23,01/25/20,0
24,01/26/20,0
25,01/27/20,0
26,01/28/20,0
27,01/29/20,0
28,01/30/20,0
29,01/31/20,0
30,02/01/20,0
31,02/02/20,0
32,02/03/20,0
33,02/04/20,0
34,02/05/20,0
35,02/06/20,0
36,02/07/20,0
37,02/08/20,0
38,02/09/20,0
39,02/10/20,0
40,02/11/20,0
41,02/12/20,0
42,02/13/20,0
43,02/14/20,0
44,02/15/20,0
45,02/16/20,0
46,02/17/20,0
47,02/18/20,0
48,02/19/20,0
49,02/20/20,0
50,02/21/20,0
51,02/22/20,0
52,02/23/20,0
53,02/24/20,0
54,02/25/20,0
55,02/26/20,0
56,02/27/20,0
57,02/28/20,0
58,02/29/20,0
59,03/01/20,0
60,03/02/20,0
61,03/03/20,0
62,03/04/20,0
63,03/05/20,0
64,03/06/20,0
65,03/07/20,0
66,03/08/20,0
67,03/09/20,0
68,03/10/20,0
69,03/11/20,0
70,03/12/20,0
71,03/13/20,0
72,03/14/20,0
73,03/15/20,0
74,03/16/20,0
75,03/17/20,0
76,03/18/20,0
77,03/19/20,0
78,03/20/20,0
79,03/21/20,0
80,03/22/20,0
81,03/23/20,0
82,03/24/20,0
83,03/25/20,0
84,03/26/20,0
85,03/27/20,0
86,03/28/20,0
87,03/29/20,0
88,03/30/20,0
89,03/31/20,0
90,04/01/20,0
91,04/02/20,0
92,04/03/20,0
93,04/04/20,0
94,04/05/20,0
95,04/06/20,0
96,04/07/20,0
97,04/08/20,0
98,04/09/20,0
99,04/10/20,0
100,04/11/20,0
101,04/12/20,0
102,04/13/20,0
103,04/14/20,0
104,04/15/20,0
105,04/16/20,0
106,04/17/20,0
107,04/18/20,0
108,04/19/20,0
109,04/20/20,0
110,04/21/20,0
111,04/22/20,0
112,04/23/20,0
113,04/24/20,0
114,04/25/20,0
115,04/26/20,0
116,04/27/20,0
117,04/28/20,0
118,04/29/20,0
119,04/30/20,0
120,05/01/20,0
121,05/02/20,0
122,05/03/20,0
123,05/04/20,0
124,05/05/20,0
125,05/06/20,0
126,05/07/20,0
127,05/08/20,0
128,05/09/20,0
129,05/10/20,0
130,05/11/20,0
131,05/12/20,0
132,05/13/20,0
133,05/14/20,0
134,05/15/20,0
135,05/16/20,0
136,05/17/20,0
137,05/18/20,0
138,05/19/20,0
139,05/20/20,0
140,05/21/20,0
141,05/22/20,0
142,05/23/20,0
143,05/24/20,0
144,05/25/20,0
145,05/26/20,0
146,05/27/20,0
147,05/28/20,0
148,05/29/20,0
149,05/30/20,0
150,05/31/20,0
151,06/01/20,0
152,06/02/20,0
153,06/03/20,0
154,06/04/20,0
155,06/05/20,0
156,06/06/20,0
157,06/07/20,0
158,06/08/20,0
159,06/09/20,0
160,06/10/20,0
161,06/11/20,0
162,06/12/20,0
163,06/13/20,0
164,06/14/20,0
165,06/15/20,0
166,06/16/20,0
167,06/17/20,0
168,06/18/20,0
169,06/19/20,0
170,06/20/20,0
171,06/21/20,0
172,06/22/20,0
173,06/23/20,0
174,06/24/20,0
175,06/25/20,0
176,06/26/20,0
177,06/27/20,0
178,06/28/20,0
179,06/29/20,0
180,06/30/20,0
181,07/01/20,0
182,07/02/20,0
183,07/03/20,0
184,07/04/20,0
185,07/05/20,0
186,07/06/20,0
187,07/07/20,0
188,07/08/20,0
189,07/09/20,0
190,07/10/20,0
191,07/11/20,0
192,07/12/20,0
