,vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
0,09/27/21,0.004067719045981766,0,0,0,0,7454.76015,1378.1572875,7454.76015,1378.1572875,7454.76015,1378.1572875
1,09/28/21,0.004067719045981766,0,0,0,0,7454.76015,1378.1572875,7454.76015,1378.1572875,7454.76015,1378.1572875
2,09/29/21,0.004067719045981765,0,0,0,0,7454.760149999998,1378.1572874999997,7454.760149999998,1378.1572874999997,7454.760149999998,1378.1572874999997
3,09/30/21,0.004067719045981767,0,0,0,0,7454.760150000002,1378.1572875000004,7454.760150000002,1378.1572875000004,7454.760150000002,1378.1572875000004
4,10/01/21,0.004067719045981767,0,0,0,0,7454.760150000002,1378.1572875000004,7454.760150000002,1378.1572875000004,7454.760150000002,1378.1572875000004
5,10/02/21,0.004067719045981764,0,0,0,0,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988
6,10/03/21,0.004067719045981768,0,0,0,0,7454.760150000002,1378.1572875000004,7454.760150000002,1378.1572875000004,7454.760150000002,1378.1572875000004
7,10/04/21,0.004067719045981766,0,0,0,0,7454.760150000002,1378.1572875000004,7454.760150000002,1378.1572875000004,7454.760150000002,1378.1572875000004
8,10/05/21,0.004067719045981764,0,0,0,0,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988
9,10/06/21,0.00406771904598177,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
10,10/07/21,0.004067719045981765,0,0,0,0,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988
11,10/08/21,0.004067719045981763,0,0,0,0,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988
12,10/09/21,0.004067719045981769,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
13,10/10/21,0.004067719045981766,0,0,0,0,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988
14,10/11/21,0.004067719045981769,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
