vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
12/15/21,0.003984704,0,0,0,0,7535.766055,1393.133945,4287.188652,1885.011348,1921.61244,1516.38756
12/16/21,0.004855578,0,0,0,0,8776.15573,1622.44427,4971.713525,2185.986475,2814.005232,2220.594768
12/17/21,0.004430587,0,0,0,0,8364.464852,1546.335149,4588.504624,2017.495376,2289.83765,1806.96235
12/18/21,0.004622094,0,0,0,0,9086.063256,1679.736746,4695.403028,2064.496972,2223.939423,1754.960577
12/19/21,0.003270711,0,0,0,0,7077.740963,1308.459037,3203.20132,1408.39868,1240.496407,978.9035931
12/20/21,0.003031617,0,0,0,0,7436.261433,1374.738567,2629.950811,1156.349189,842.5918419,664.9081581
12/21/21,0.002878798,0,0,0,0,5958.883651,1101.616349,2802.488587,1232.211413,1284.763919,1013.836082
12/22/21,0.003973871,0,0,0,0,8534.610159,1577.789841,3635.170898,1598.329103,1756.615351,1386.184649
12/23/21,0.004359788,0,0,0,0,9417.238938,1740.961058,3924.609268,1725.590732,1942.740115,1533.059885
12/24/21,2.01E-05,0,0,0,0,34.18097696,6.319023036,14.378148,6.321851996,18.1094366,14.2905634
12/25/21,2.51E-06,0,0,0,0,8.355349924,1.544650076,0.62513687,0.27486313,0.503039905,0.396960095
12/26/21,0.007039148,0,0,0,0,15521.96143,2869.538572,6490.796118,2853.903882,2802.435314,2211.464686
12/27/21,0.000518617,0,0,0,0,1104.425345,204.1746555,480.1051159,211.0948841,230.8953167,182.2046833
12/28/21,0.002465414,0,0,0,0,4965.356587,917.9434134,2443.034887,1074.165113,1156.991783,913.0082175
12/29/21,0.003232797,0,0,0,0,6896.201997,1274.898003,3098.178327,1362.221673,1346.637828,1062.662172
12/30/21,0.003876377,0,0,0,0,8701.717158,1608.682842,3499.516197,1538.683803,1501.574118,1184.925882
12/31/21,1.68E-05,0,0,0,0,29.62351337,5.476486631,15.00328488,6.596715127,12.07295773,9.527042268
1/1/22,0,0,0,0,0,0,0,0,0,0,0
1/2/22,0.006695208,0,0,0,0,14975.82537,2768.574626,6049.449488,2659.850512,2624.862227,2071.337773
1/3/22,0.000474319,0,0,0,0,1055.052823,195.0471778,418.8417027,184.1582973,197.6946829,156.0053171
1/4/22,0.002139658,0,0,0,0,4649.372445,859.5275557,2058.575712,905.1242877,828.5067246,653.7932754
1/5/22,0.003069145,0,0,0,0,6745.805699,1247.094302,2721.84593,1196.75407,1323.497992,1044.402008
1/6/22,0.00283334,0,0,0,0,6252.080476,1155.819524,2569.312535,1129.687466,1160.010023,915.3899775
1/7/22,0.002646668,0,0,0,0,6037.879686,1116.220314,2316.132103,1018.367897,1020.164928,805.0350714
1/8/22,0.002674331,0,0,0,0,6254.359207,1156.240793,2298.003134,1010.396867,963.3214188,760.1785808
1/9/22,0.002073501,0,0,0,0,5181.07653,957.82347,1726.628034,759.1719659,571.4533328,450.9466673
1/10/22,0.001274007,0,0,0,0,3153.005231,582.8947694,1089.613564,479.0864361,348.1036147,274.6963853
1/11/22,0.00223812,0,0,0,0,5091.446413,941.2535871,2036.070785,895.2292154,809.894248,639.105752
1/12/22,0.002457289,0,0,0,0,5595.046141,1034.353859,2123.589947,933.7100535,975.8974167,770.1025831
1/13/22,0.00289969,0,0,0,0,6711.624721,1240.775279,2456.787898,1080.212102,1118.76075,882.8392499
