,date,hospitalized
0,01/02/20,3
1,01/03/20,3
2,01/04/20,3
3,01/05/20,3
4,01/06/20,3
5,01/07/20,1
6,01/08/20,1
7,01/09/20,1
8,01/10/20,1
9,01/11/20,1
10,01/12/20,1
11,01/13/20,1
12,01/14/20,1
13,01/15/20,1
14,01/16/20,1
15,01/17/20,1
16,01/18/20,1
17,01/19/20,2
18,01/20/20,2
19,01/21/20,1
20,01/22/20,1
21,01/23/20,1
22,01/24/20,1
23,01/25/20,1
24,01/26/20,1
25,01/27/20,1
26,01/28/20,1
27,01/29/20,1
28,01/30/20,1
29,01/31/20,1
30,02/01/20,1
31,02/02/20,1
32,02/03/20,1
33,02/04/20,1
34,02/05/20,1
35,02/06/20,1
36,02/07/20,1
37,02/08/20,1
38,02/09/20,1
39,02/10/20,1
40,02/11/20,1
41,02/12/20,1
42,02/13/20,1
43,02/14/20,1
44,02/15/20,2
45,02/16/20,3
46,02/17/20,3
47,02/18/20,1
48,02/19/20,1
49,02/20/20,1
50,02/21/20,2
51,02/22/20,2
52,02/23/20,1
53,02/24/20,1
54,02/25/20,1
55,02/26/20,1
56,02/27/20,1
57,02/28/20,1
58,02/29/20,2
59,03/01/20,2
60,03/02/20,1
61,03/03/20,7
62,03/04/20,4
63,03/05/20,12
64,03/06/20,2
65,03/07/20,8
66,03/08/20,11
67,03/09/20,5
68,03/10/20,13
69,03/11/20,12
70,03/12/20,17
71,03/13/20,20
72,03/14/20,27
73,03/15/20,38
74,03/16/20,42
75,03/17/20,45
76,03/18/20,82
77,03/19/20,75
78,03/20/20,100
79,03/21/20,102
80,03/22/20,146
81,03/23/20,201
82,03/24/20,222
83,03/25/20,236
84,03/26/20,266
85,03/27/20,320
86,03/28/20,275
87,03/29/20,280
88,03/30/20,366
89,03/31/20,317
90,04/01/20,364
91,04/02/20,329
92,04/03/20,309
93,04/04/20,308
94,04/05/20,266
95,04/06/20,376
96,04/07/20,357
97,04/08/20,337
98,04/09/20,290
99,04/10/20,283
100,04/11/20,268
101,04/12/20,268
102,04/13/20,301
103,04/14/20,294
104,04/15/20,290
105,04/16/20,282
106,04/17/20,290
107,04/18/20,274
108,04/19/20,275
109,04/20/20,328
110,04/21/20,283
111,04/22/20,255
112,04/23/20,306
113,04/24/20,291
114,04/25/20,217
115,04/26/20,201
116,04/27/20,283
117,04/28/20,305
118,04/29/20,269
119,04/30/20,250
120,05/01/20,227
121,05/02/20,266
122,05/03/20,247
123,05/04/20,229
124,05/05/20,265
125,05/06/20,231
126,05/07/20,218
127,05/08/20,150
128,05/09/20,171
129,05/10/20,180
130,05/11/20,225
131,05/12/20,209
132,05/13/20,209
133,05/14/20,208
134,05/15/20,186
135,05/16/20,142
136,05/17/20,163
137,05/18/20,214
138,05/19/20,183
