,date,hospitalized
0,01/02/20,2
1,01/03/20,2
2,01/04/20,0
3,01/05/20,2
4,01/06/20,2
5,01/07/20,1
6,01/08/20,1
7,01/09/20,0
8,01/10/20,0
9,01/11/20,0
10,01/12/20,0
11,01/13/20,0
12,01/14/20,0
13,01/15/20,0
14,01/16/20,0
15,01/17/20,0
16,01/18/20,0
17,01/19/20,0
18,01/20/20,1
19,01/21/20,0
20,01/22/20,0
21,01/23/20,0
22,01/24/20,0
23,01/25/20,0
24,01/26/20,0
25,01/27/20,1
26,01/28/20,0
27,01/29/20,0
28,01/30/20,0
29,01/31/20,0
30,02/01/20,0
31,02/02/20,0
32,02/03/20,0
33,02/04/20,0
34,02/05/20,0
35,02/06/20,0
36,02/07/20,0
37,02/08/20,0
38,02/09/20,0
39,02/10/20,0
40,02/11/20,0
41,02/12/20,0
42,02/13/20,0
43,02/14/20,0
44,02/15/20,0
45,02/16/20,0
46,02/17/20,2
47,02/18/20,1
48,02/19/20,0
49,02/20/20,0
50,02/21/20,0
51,02/22/20,1
52,02/23/20,0
53,02/24/20,0
54,02/25/20,1
55,02/26/20,0
56,02/27/20,0
57,02/28/20,1
58,02/29/20,0
59,03/01/20,2
60,03/02/20,1
61,03/03/20,6
62,03/04/20,3
63,03/05/20,8
64,03/06/20,2
65,03/07/20,6
66,03/08/20,8
67,03/09/20,4
68,03/10/20,9
69,03/11/20,10
70,03/12/20,11
71,03/13/20,17
72,03/14/20,20
73,03/15/20,29
74,03/16/20,30
75,03/17/20,35
76,03/18/20,60
77,03/19/20,58
78,03/20/20,72
79,03/21/20,77
80,03/22/20,109
81,03/23/20,154
82,03/24/20,164
83,03/25/20,183
84,03/26/20,205
85,03/27/20,234
86,03/28/20,204
87,03/29/20,211
88,03/30/20,262
89,03/31/20,235
90,04/01/20,268
91,04/02/20,243
92,04/03/20,242
93,04/04/20,223
94,04/05/20,194
95,04/06/20,272
96,04/07/20,270
97,04/08/20,255
98,04/09/20,227
99,04/10/20,221
100,04/11/20,194
101,04/12/20,194
102,04/13/20,225
103,04/14/20,221
104,04/15/20,210
105,04/16/20,213
106,04/17/20,212
107,04/18/20,196
108,04/19/20,199
109,04/20/20,237
110,04/21/20,203
111,04/22/20,183
112,04/23/20,216
113,04/24/20,223
114,04/25/20,158
115,04/26/20,154
116,04/27/20,217
117,04/28/20,226
118,04/29/20,205
119,04/30/20,189
120,05/01/20,167
121,05/02/20,191
122,05/03/20,175
123,05/04/20,177
124,05/05/20,195
125,05/06/20,172
126,05/07/20,159
127,05/08/20,116
128,05/09/20,124
129,05/10/20,132
130,05/11/20,164
131,05/12/20,160
132,05/13/20,160
133,05/14/20,161
134,05/15/20,138
135,05/16/20,114
136,05/17/20,118
137,05/18/20,148
138,05/19/20,135
139,05/20/20,116
140,05/21/20,136
141,05/22/20,106
142,05/23/20,116
143,05/24/20,127
144,05/25/20,113
145,05/26/20,99
146,05/27/20,95
147,05/28/20,95
148,05/29/20,73
149,05/30/20,64
150,05/31/20,53
151,06/01/20,82
152,06/02/20,76
153,06/03/20,67
154,06/04/20,50
155,06/05/20,56
156,06/06/20,53
157,06/07/20,50
158,06/08/20,55
159,06/09/20,44
160,06/10/20,38
161,06/11/20,37
162,06/12/20,31
163,06/13/20,29
164,06/14/20,28
165,06/15/20,39
166,06/16/20,38
167,06/17/20,40
168,06/18/20,41
169,06/19/20,40
170,06/20/20,23
171,06/21/20,21
172,06/22/20,36
173,06/23/20,34
174,06/24/20,33
175,06/25/20,36
176,06/26/20,36
177,06/27/20,23
178,06/28/20,36
179,06/29/20,42
180,06/30/20,39
181,07/01/20,33
182,07/02/20,31
183,07/03/20,36
184,07/04/20,22
185,07/05/20,29
186,07/06/20,35
187,07/07/20,48
188,07/08/20,41
189,07/09/20,48
190,07/10/20,49
191,07/11/20,34
192,07/12/20,24
193,07/13/20,40
194,07/14/20,34
195,07/15/20,33
196,07/16/20,40
197,07/17/20,32
198,07/18/20,20
199,07/19/20,26
200,07/20/20,34
201,07/21/20,43
202,07/22/20,31
203,07/23/20,49
204,07/24/20,39
205,07/25/20,33
206,07/26/20,23
207,07/27/20,29
208,07/28/20,26
209,07/29/20,28
210,07/30/20,30
211,07/31/20,37
212,08/01/20,30
213,08/02/20,31
214,08/03/20,34
215,08/04/20,38
216,08/05/20,33
217,08/06/20,31
218,08/07/20,28
219,08/08/20,29
220,08/09/20,29
221,08/10/20,40
222,08/11/20,29
223,08/12/20,41
224,08/13/20,39
225,08/14/20,37
226,08/15/20,25
227,08/16/20,33
228,08/17/20,29
229,08/18/20,28
230,08/19/20,33
231,08/20/20,27
232,08/21/20,24
233,08/22/20,34
234,08/23/20,31
235,08/24/20,35
236,08/25/20,28
237,08/26/20,40
238,08/27/20,36
239,08/28/20,29
240,08/29/20,26
241,08/30/20,36
242,08/31/20,42
243,09/01/20,22
244,09/02/20,20
245,09/03/20,24
246,09/04/20,27
247,09/05/20,31
248,09/06/20,20
249,09/07/20,24
250,09/08/20,29
251,09/09/20,26
252,09/10/20,26
253,09/11/20,33
254,09/12/20,26
255,09/13/20,29
256,09/14/20,28
257,09/15/20,36
258,09/16/20,34
259,09/17/20,35
260,09/18/20,22
261,09/19/20,26
262,09/20/20,21
263,09/21/20,40
264,09/22/20,29
265,09/23/20,39
266,09/24/20,32
267,09/25/20,42
268,09/26/20,32
269,09/27/20,35
270,09/28/20,35
271,09/29/20,36
272,09/30/20,37
273,10/01/20,39
274,10/02/20,37
275,10/03/20,38
276,10/04/20,30
277,10/05/20,35
278,10/06/20,32
279,10/07/20,20
280,10/08/20,34
281,10/09/20,26
282,10/10/20,32
283,10/11/20,46
284,10/12/20,53
285,10/13/20,50
286,10/14/20,49
287,10/15/20,47
288,10/16/20,54
289,10/17/20,56
290,10/18/20,64
291,10/19/20,69
292,10/20/20,77
293,10/21/20,85
294,10/22/20,95
295,10/23/20,93
