,vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
597,12/13/20,0.0000000000,0,0,0,0,0,0,0,0,0,0
596,12/14/20,0.0000000000,0,0,0,0,0,0,0,0,0,0
595,12/15/20,0.0000000000,0,0,0,0,0,0,0,0,0,0
594,12/16/20,0.0000000000,0,0,0,0,0,0,0,0,0,0
593,12/17/20,0.0000000000,0,0,0,0,0,0,0,0,0,0
592,12/18/20,0.0000000000,0,0,0,0,0,0,0,0,0,0
591,12/19/20,0.0000000000,0,0,0,0,0,0,0,0,0,0
590,12/20/20,0.0000000000,0,0,0,0,0,0,0,0,0,0
589,12/21/20,0.0000000000,0,0,0,0,0,0,0,0,0,0
588,12/22/20,0.0000000000,0,0,0,0,0,0,0,0,0,0
587,12/23/20,0.0000000000,0,0,0,0,0,0,0,0,0,0
586,12/24/20,0.0075782694,0,2111,0,0,1.68794948,0.31205052,24277.53763,10674.46237,1179.908045,931.0919547
585,12/25/20,0.0005797446,0,169,0,0,0.84397474,0.15602526,1846.237555,811.7624448,94.45971561,74.54028439
584,12/26/20,0.0001288321,0,25,0,0,0,0,427.8714575,188.1285425,13.97333071,11.02666929
583,12/27/20,0.0000735078,0,27,0,0,0,0,226.4384661,99.56153386,15.09119717,11.90880283
582,12/28/20,0.0001038782,0,52,0,0,0,0,300.760294,132.239706,29.06452788,22.93547212
581,12/29/20,0.0003501294,0,165,0,0,0.84397474,0.15602526,1027.308256,451.6917441,92.22398269,72.77601731
580,12/30/20,0.0012271937,0,545,0,0,0.84397474,0.15602526,3648.71553,1604.28447,304.6186095,240.3813905
579,12/31/20,0.0016448342,0,936,0,0,3.375898959,0.624101041,4603.091151,2023.908849,523.1615018,412.8384982
578,1/1/21,0.0014353369,0,967,0,0,3.375898959,0.624101041,3807.778133,1674.221867,540.4884319,426.5115681
577,1/2/21,0.0005184236,0,555,0,0,2.53192422,0.46807578,1088.43275,478.5672502,310.2079418,244.7920582
576,1/3/21,0.0003156967,0,314,0,0,0,0,697.374908,306.625092,175.5050337,138.4949663
575,1/4/21,0.0003568998,0,207,0,0,0,0,993.9676228,437.0323772,115.6991783,91.30082171
574,1/5/21,0.0012776820,0,975,0,0,2.53192422,0.46807578,3231.26302,1420.73698,544.9598977,430.0401023
573,1/6/21,0.0018477545,0,1449,0,0,4.219873699,0.780126301,4618.372274,2030.627726,809.894248,639.105752
572,1/7/21,0.0015270282,0,1428,0,0,2.53192422,0.46807578,3497.293488,1537.706512,798.1566502,629.8433498
571,1/8/21,0.0011169320,0,1105,0,0,3.375898959,0.624101041,2472.763618,1087.236382,617.6212174,487.3787826
570,1/9/21,0.0018988231,0,1671,0,0,10.97167162,2.028328382,4487.788128,1973.211872,933.9774247,737.0225753
569,1/10/21,0.0012153938,0,1070,0,0,4.219873699,0.780126301,2874.240408,1263.759592,598.0585544,471.9414456
568,1/11/21,0.0008550120,0,704,0,0,1.68794948,0.31205052,2090.735531,919.2644691,393.4889928,310.5110072
567,1/12/21,0.0006052789,0,474,0,0,2.53192422,0.46807578,1512.831225,665.1687753,264.9343503,209.0656497
566,1/13/21,0.0016519915,0,1189,0,0,0.84397474,0.15602526,4279.409171,1881.590829,664.5716086,524.4283914
565,1/14/21,0.0021955625,0,2000,0,0,4.219873699,0.780126301,5101.811453,2243.188547,1117.866457,882.1335431
564,1/15/21,0.0018483348,0,1602,0,0,1.68794948,0.31205052,4409.993318,1939.006682,895.411032,706.588968
563,1/16/21,0.0026043047,0,3384,0,0,7.595772659,1.404227341,4644.072345,2041.927655,1891.430045,1492.569955
562,1/17/21,0.0019694293,0,2751,0,0,30.38309063,5.616909366,3225.011651,1417.988349,1537.625311,1213.374689
561,1/18/21,0.0011473023,0,1716,0,0,7.595772659,1.404227341,1729.54534,760.4546605,959.12942,756.87058
560,1/19/21,0.0010267882,0,1220,0,0,1.68794948,0.31205052,1990.713632,875.2863682,681.8985387,538.1014613
559,1/20/21,0.0023596010,0,3261,0,0,10.97167162,2.028328382,3933.500104,1729.499896,1822.681258,1438.318742
558,1/21/21,0.0022404410,0,2925,0,0,10.12769688,1.872303122,3973.092105,1746.907895,1634.879693,1290.120307
557,1/22/21,0.0031453609,0,4032,0,0,9.283722138,1.716277862,5685.272532,2499.727468,2253.618777,1778.381223
556,1/23/21,0.0040781365,0,6385,0,0,11.81564636,2.184353642,5763.761939,2534.238061,3568.788664,2816.211336
555,1/24/21,0.0032403408,0,6010,0,0,19.41141902,3.588580984,3270.160425,1437.839575,3359.188703,2650.811297
554,1/25/21,0.0020170159,0,3680,0,0,5.063848439,0.936151561,2126.159954,934.8400465,2056.874281,1623.125719
553,1/26/21,0.0026700749,0,4579,0,0,5.063848439,0.936151561,3222.233265,1416.766735,2559.355253,2019.644747
552,1/27/21,0.0034852379,0,5517,0,0,13.50359584,2.496404163,4839.253968,2127.746032,3083.634621,2433.365379
551,1/28/21,0.0041518378,0,6867,0,0,9.283722138,1.716277862,5360.895956,2357.104044,3838.19448,3028.80552
550,1/29/21,0.0052246650,0,8999,0,0,5.063848439,0.936151561,6254.84168,2750.15832,5029.840123,3969.159877
549,1/30/21,0.0058005408,0,10247,0,0,18.56744428,3.432555723,6577.829062,2892.170938,5727.388792,4519.611208
548,1/31/21,0.0044127905,0,7891,0,0,22.78731798,4.212682024,4864.259443,2138.740557,4410.542106,3480.457894
547,2/1/21,0.0018796723,0,3308,0,0,2.53192422,0.46807578,2151.860025,946.1399752,1848.95112,1459.04888
546,2/2/21,0.0033771040,0,5853,0,0,17.72346954,3.276530463,3980.732667,1750.267333,3271.436186,2581.563814
545,2/3/21,0.0053024286,0,8522,0,0,11.81564636,2.184353642,7191.157791,3161.842209,4763.228973,3758.771027
544,2/4/21,0.0054861981,0,9274,0,0,29.53911589,5.460884106,6791.764791,2986.235209,5183.546761,4090.453239
543,2/5/21,0.0071519240,0,12544,0,0,23.63129272,4.368707284,8235.136364,3620.863636,7011.258418,5532.741582
542,2/6/21,0.0062559024,0,10859,0,0,21.0993685,3.900631504,7360.639343,3236.360657,6069.455928,4789.544072
541,2/7/21,0.0057250985,0,9983,0,0,32.91501485,6.084985146,6661.875242,2929.124758,5579.83042,4403.16958
540,2/8/21,0.0018409840,0,3378,0,0,12.6596211,2.340378902,1907.362049,838.6379509,1888.076446,1489.923554
539,2/9/21,0.0058525766,0,10196,0,0,29.53911589,5.460884106,6826.494617,3001.505383,5698.883197,4497.116803
538,2/10/21,0.0048768570,0,8481,0,0,19.41141902,3.588580984,5713.750989,2512.249011,4740.312711,3740.687289
537,2/11/21,0.0050708789,0,8869,0,0,26.16321694,4.836783065,5865.867627,2579.132373,4957.178803,3911.821197
536,2/12/21,0.0000394621,0,76,0,0,0,0,36.11901914,15.88098086,42.47892536,33.52107464
535,2/13/21,0.0142403992,0,25656,0,0,28.69514115,5.304858845,15468.66454,6801.335457,14339.99091,11316.00909
534,2/14/21,0.0050076235,0,8098,0,0,10.97167162,2.028328382,6722.305139,2955.694861,4526.241284,3571.758716
533,2/15/21,0.0032652948,0,5237,0,0,12.6596211,2.340378902,4439.166371,1951.833629,2927.133317,2309.866683
532,2/16/21,0.0041883982,0,7180,0,0,27.85116641,5.148833585,5042.076152,2216.923848,4013.14058,3166.85942
531,2/17/21,0.0025271215,0,4031,0,0,9.283722138,1.716277862,3466.731241,1524.268759,2253.059844,1777.940156
530,2/18/21,0.0051799800,0,8879,0,0,15.19154532,2.808454683,6252.75789,2749.24211,4962.768135,3916.231865
529,2/19/21,0.0050662363,0,8400,0,0,19.41141902,3.588580984,6506.285621,2860.714379,4695.039119,3704.960881
528,2/20/21,0.0042108375,0,7163,0,0,16.8794948,3.120505203,5155.295386,2266.704614,4003.638715,3159.361285
527,2/21/21,0.0007203766,0,1217,0,0,4.219873699,0.780126301,892.5565306,392.4434694,680.221739,536.778261
526,2/22/21,0.0034923952,0,5127,0,0,27.00719167,4.992808325,5395.625782,2372.374218,2865.650662,2261.349338
525,2/23/21,0.0024015779,0,4153,0,0,10.97167162,2.028328382,2845.067354,1250.932646,2321.249698,1831.750302
524,2/24/21,0.0032155803,0,5343,0,0,10.12769688,1.872303122,4115.484392,1809.515608,2986.38024,2356.61976
523,2/25/21,0.0080204770,0,13348,0,0,54.01438335,9.98561665,10211.95806,4490.041935,7460.640733,5887.359267
522,2/26/21,0.0044228495,0,8089,0,0,23.63129272,4.368707284,4624.623643,2033.376357,4521.210885,3567.789115
521,2/27/21,0.0044056332,0,7375,0,0,24.47526746,4.524732545,5553.993789,2442.006211,4122.13256,3252.86744
520,2/28/21,0.0053039761,0,8026,0,0,39.66681277,7.333187227,7862.832628,3457.167372,4485.998092,3540.001908
519,3/1/21,0.0031983639,0,5376,0,0,15.19154532,2.808454683,4003.654352,1760.345648,3004.825036,2371.174964
518,3/2/21,0.0037620529,0,5545,0,0,35.44693907,6.553060927,5776.264676,2539.735324,3099.284752,2445.715248
517,3/3/21,0.0046892186,0,7172,0,0,25.3192422,4.680757805,6853.583882,3013.416118,4008.669114,3163.330886
516,3/4/21,0.0053817397,0,7918,0,0,29.53911589,5.460884106,8300.428437,3649.571563,4425.633303,3492.366697
515,3/5/21,0.0067658145,0,9654,0,0,86.9293982,16.0706018,10811.39486,4753.605137,5395.941387,4258.058613
514,3/6/21,0.0060081037,0,8983,0,0,39.66681277,7.333187227,9061.706225,3984.293775,5020.897191,3962.102809
513,3/7/21,0.0058709535,0,8347,0,0,54.01438335,9.98561665,9440.955926,4151.044074,4665.415658,3681.584342
512,3/8/21,0.0016597292,0,2477,0,0,25.3192422,4.680757805,2497.769093,1098.230907,1384.477607,1092.522393
511,3/9/21,0.0037628266,0,4810,0,0,56.54630757,10.45369243,6782.735036,2982.264964,2688.468829,2121.531171
510,3/10/21,0.0052515534,0,7345,0,0,50.63848439,9.361515609,8611.607679,3786.392321,4105.364563,3239.635437
509,3/11/21,0.0052888877,0,7331,0,0,44.73066121,8.269338788,8769.975685,3856.024315,4097.539498,3233.460502
508,3/12/21,0.0086261427,0,12664,0,0,38.82283803,7.177161967,13349.45055,5869.549446,7078.330405,5585.669595
507,3/13/21,0.0098399890,0,12299,0,0,94.52517086,17.47482914,18169.25582,7988.74418,6874.319777,5424.680223
506,3/14/21,0.0070319902,0,7734,0,0,76.80170133,14.19829867,14442.74548,6350.25452,4322.789589,3411.210411
505,3/15/21,0.0046027502,0,5985,0,0,46.41861069,8.581389309,8174.706466,3594.293534,3345.215372,2639.784628
504,3/16/21,0.0057782950,0,6636,0,0,54.85835809,10.14164191,11484.45889,5049.541107,3709.080904,2926.919096
503,3/17/21,0.0001820286,0,142,0,0,0,0,456.3499149,200.6500851,79.36851844,62.63148156
502,3/18/21,0.0077071015,0,8003,0,0,104.6528677,19.34713226,16470.27273,7241.727273,4473.142627,3529.857373
501,3/19/21,0.0156921787,0,15529,0,0,266.6960178,49.30398221,34554.09317,15192.90683,8679.674105,6849.325895
500,3/20/21,0.0002975132,0,202,0,0,2.53192422,0.46807578,785.5886663,345.4113337,112.9045121,89.09548785
499,3/21/21,0.0162823691,0,14031,0,0,337.5898959,62.41010406,38695.97224,17014.02776,7842.392128,6188.607872
498,3/22/21,0.0039197078,0,3840,0,0,72.58182763,13.41817237,8680.372734,3816.627266,2146.303597,1693.696403
497,3/23/21,0.0067946373,0,5362,0,0,157.8232764,29.17672365,16818.96018,7395.039819,2996.999971,2365.000029
496,3/24/21,0.0082282333,0,6473,0,0,205.0858618,37.91413822,20384.32413,8962.675872,3617.974788,2855.025212
495,3/25/21,0.0089234625,0,6690,0,0,219.4334324,40.56656764,22567.441,9922.559003,3739.263298,2950.736702
494,3/26/21,0.0093875290,0,7005,0,0,267.5399925,49.46000747,23756.59024,10445.40976,3915.327265,3089.672735
493,3/27/21,0.0092283265,0,6694,0,0,274.2917904,50.70820955,23611.41957,10381.58043,3741.499031,2952.500969
492,3/28/21,0.0074208079,0,5317,0,0,283.5755126,52.42448741,19026.38793,8365.612072,2971.847976,2345.152024
491,3/29/21,0.0031840493,0,1767,0,0,97.90106982,18.09893018,8897.781446,3912.218554,987.6350147,779.3649853
490,3/30/21,0.0071387700,0,4343,0,0,335.0579717,61.94202828,19324.36984,8496.630164,2427.447011,1915.552989
489,3/31/21,0.0087590371,0,4856,0,0,378.1006834,69.89931655,24394.22985,10725.77015,2714.179757,2141.820243
488,4/1/21,0.0084056192,0,4440,0,0,340.9657949,63.0342051,23733.66856,10435.33144,2481.663534,1958.336466
487,4/2/21,0.0093207916,0,4894,0,0,515.668566,95.33143396,26245.32958,11539.67042,2735.41922,2158.58078
486,4/3/21,0.0094579417,0,4597,0,0,530.8601114,98.13988864,27137.88611,11932.11389,2569.416051,2027.583949
485,4/4/21,0.0071774583,0,3410,0,0,492.8812481,91.11875193,20629.5167,9070.4833,1905.962309,1504.037691
484,4/5/21,0.0018367283,0,1237,0,0,134.1919836,24.80801637,4766.321333,2095.678667,691.4004036,545.5995964
483,4/6/21,0.0060431166,0,3216,0,0,381.4765824,70.52341759,16917.59289,7438.407113,1797.529263,1418.470737
482,4/7/21,0.0081348010,0,3822,0,0,526.6402377,97.35976234,23466.94349,10318.05651,2136.242799,1685.757201
481,4/8/21,0.0097049667,0,4463,0,0,606.8178379,112.1821621,28148.52405,12376.47595,2494.518999,1968.481001
480,4/9/21,0.0098125202,0,5096,0,0,712.3146804,131.6853196,27568.53595,12121.46405,2848.323732,2247.676268
479,4/10/21,0.0089518984,0,4349,0,0,788.272407,145.727593,25453.48954,11191.51046,2430.800611,1918.199389
478,4/11/21,0.0007269537,0,76,0,0,377.2567087,69.74329129,2194.230413,964.7695873,42.47892536,33.52107464
477,4/12/21,0.0116306781,0,4257,0,0,1482.019643,273.9803568,34629.1096,15225.8904,2379.378754,1877.621246
476,4/13/21,0.0061723356,0,2993,0,0,727.5062257,134.4937743,17406.58884,7653.411161,1672.887153,1320.112847
475,4/14/21,0.0073906310,0,3249,0,0,1228.827221,227.1727788,21012.93398,9239.06602,1815.974059,1433.025941
474,4/15/21,0.0070232853,0,3218,0,0,1425.473336,263.5266644,19575.11918,8606.88082,1798.647129,1419.352871
473,4/16/21,0.0086953948,0,3797,0,0,1615.367652,298.6323479,24618.58453,10824.41547,2122.269468,1674.730532
472,4/17/21,0.0080626472,0,3527,0,0,1544.473774,285.5262261,22779.98753,10016.01247,1971.357497,1555.642503
471,4/18/21,0.0060462117,0,2067,0,0,1528.438254,282.5617461,17580.93257,7730.067434,1155.314983,911.6850168
470,4/19/21,0.0033001142,0,1611,0,0,1009.393789,186.6062111,8781.08923,3860.91077,900.441431,710.558569
469,4/20/21,0.0038258886,0,1744,0,0,784.8965081,145.1034919,10669.00258,4690.997424,974.7795504,769.2204496
468,4/21/21,0.0068741418,0,2326,0,0,1456.700401,269.299599,20253.04539,8904.954614,1300.078689,1025.921311
467,4/22/21,0.0060881885,0,2329,0,0,1231.359145,227.6408546,17612.18941,7743.810591,1301.755489,1027.244511
466,4/23/21,0.0058864289,0,2292,0,0,1590.04841,293.9515901,16643.92186,7318.078142,1281.07496,1010.92504
465,4/24/21,0.0059187336,0,2213,0,0,1307.316872,241.683128,17102.35556,7519.644438,1236.919235,976.0807654
464,4/25/21,0.0001189666,0,37,0,0,43.88668647,8.113313528,339.6576992,149.3423008,20.68052945,16.31947055
463,4/26/21,0.0064814553,0,1919,0,0,2546.27179,470.7282099,18511.69191,8139.308095,1072.592865,846.4071346
462,4/27/21,0.0040930315,0,1774,0,0,952.8474813,176.1525187,11448.33987,5033.660126,991.5475473,782.4524527
461,4/28/21,0.0042201226,0,1866,0,0,905.5848959,167.4151041,11815.78143,5195.218566,1042.969404,823.0305957
460,4/29/21,0.0044849442,0,1830,0,0,1301.409049,240.5909512,12490.92925,5492.070747,1022.847808,807.1521919
459,4/30/21,0.0000324982,0,10,0,0,1.68794948,0.31205052,101.4110922,44.5889078,5.589332285,4.410667715
458,5/1/21,0.0081390567,0,3462,0,0,2242.440884,414.5591162,22570.21938,9923.780617,1935.026837,1526.973163
457,5/2/21,0.0023919058,0,738,0,0,919.0884917,169.9115083,6807.045915,2992.954085,412.4927226,325.5072774
456,5/3/21,0.0006046985,0,209,0,0,203.3979123,37.6020877,1713.56962,753.4303805,116.8170447,92.18295525
455,5/4/21,0.0021255367,0,983,0,0,627.9172064,116.0827936,5749.870008,2528.129992,549.4313636,433.5686364
454,5/5/21,0.0047625330,0,2591,0,0,1065.096122,196.9038783,12624.98638,5551.013618,1448.195995,1142.804005
453,5/6/21,0.0000224392,0,5,0,0,0.84397474,0.15602526,72.9326348,32.0673652,2.794666142,2.205333858
452,5/7/21,0.0064874520,0,3071,0,0,1804.417994,333.5820062,17543.42435,7713.575646,1716.483945,1354.516055
451,5/8/21,0.0035746079,0,1534,0,0,1098.855111,203.1448887,9800.062327,4308.937673,857.4035724,676.5964276
450,5/9/21,0.0036425059,0,1466,0,0,1225.451322,226.5486777,10034.14136,4411.858645,819.3961129,646.6038871
449,5/10/21,0.0030749482,0,1026,0,0,870.9819315,161.0180685,8899.170639,3912.829361,573.4654924,452.5345076
448,5/11/21,0.0024599972,0,1143,0,0,573.0588484,105.9411516,6773.705282,2978.294718,638.8606801,504.1393199
447,5/12/21,0.0027832382,0,1391,0,0,563.7751262,104.2248738,7597.496757,3340.503243,777.4761208,613.5238792
446,5/13/21,0.0026882584,0,1221,0,0,873.5138557,161.4861443,7237.695758,3182.304242,682.4574719,538.5425281
445,5/14/21,0.0033788450,0,1097,0,0,4765.081381,880.9186188,6686.880716,2940.119284,613.1497516,483.8502484
444,5/15/21,0.0000446850,0,19,0,0,9.283722138,1.716277862,126.416567,55.58343301,10.61973134,8.380268659
443,5/16/21,0.0091410843,0,2517,0,0,12383.64136,2289.358642,19134.74499,8413.255015,1406.834936,1110.165064
442,5/17/21,0.0016042115,0,337,0,0,2435.711099,450.2889008,3287.525338,1445.474662,188.360498,148.639502
441,5/18/21,0.0018347939,0,588,0,0,2545.427815,470.5721846,3676.49939,1616.50061,328.6527383,259.3472617
440,5/19/21,0.0044826229,0,1384,0,0,6032.73144,1115.26856,9208.266091,4048.733909,773.5635882,610.4364118
439,5/20/21,0.0000568718,0,20,0,0,25.3192422,4.680757805,155.5896209,68.41037909,11.17866457,8.821335431
438,5/21/21,0.0047787821,0,1306,0,0,6528.144613,1206.855387,9972.322265,4384.677735,729.9667964,576.0332036
437,5/22/21,0.0061191392,0,1712,0,0,6187.178818,1143.821182,14501.78618,6376.213816,956.8936871,755.1063129
436,5/23/21,0.0070818982,0,2303,0,0,7294.473676,1348.526324,16226.46935,7134.530652,1287.223225,1015.776775
435,5/24/21,0.0021067728,0,443,0,0,3156.465527,583.534473,4351.64721,1913.35279,247.6074202,195.3925798
434,5/25/21,0.0027530613,0,1007,0,0,2962.351337,547.6486632,6048.546513,2659.453487,562.8457611,444.1542389
433,5/26/21,0.0031353020,0,1389,0,0,2801.996136,518.0038637,7022.370836,3087.629164,776.3582543,612.6417457
432,5/27/21,0.0000452653,0,14,0,0,21.0993685,3.900631504,125.7219705,55.27802954,7.825065198,6.174934802
431,5/28/21,0.0000514555,0,15,0,0,16.8794948,3.120505203,150.0328487,65.96715127,8.383998427,6.616001573
430,5/29/21,0.0092619854,0,3522,0,0,8957.103914,1655.896086,20992.79068,9230.209319,1968.562831,1553.437169
429,5/30/21,0.0000166360,0,2,0,0,7.595772659,1.404227341,50.7055461,22.2944539,1.117866457,0.882133543
428,5/31/21,0.0020889762,0,522,0,0,2201.086122,406.9138785,4964.281342,2182.718658,291.7631453,230.2368547
427,6/1/21,0.0021069663,0,469,0,0,2255.100505,416.8994951,5058.051872,2223.948128,262.1396841,206.8603159
426,6/2/21,0.0012225511,0,494,0,0,1052.436501,194.5634994,2837.426792,1247.573208,276.1130149,217.8869851
425,6/3/21,0.0017941711,0,657,0,0,1821.297489,336.7025114,4030.743617,1772.256383,367.2191311,289.7808689
424,6/4/21,0.0000239868,0,3,0,0,10.12769688,1.872303122,73.62723132,32.37276868,1.676799685,1.323200315
423,6/5/21,0.0023979025,0,836,0,0,2111.624799,390.3752009,5710.972603,2511.027397,467.268179,368.731821
422,6/6/21,0.0041562869,0,1204,0,0,5090.855631,941.1443693,9061.706225,3984.293775,672.9556071,531.0443929
421,6/7/21,0.0011919873,0,290,0,0,1559.665319,288.3346808,2593.623413,1140.376587,162.0906363,127.9093637
420,6/8/21,0.0016705619,0,454,0,0,2196.866248,406.1337522,3559.807175,1565.192825,253.7556857,200.2443143
419,6/9/21,0.0020827861,0,711,0,0,2216.277667,409.7223332,4666.994031,2052.005969,397.4015254,313.5984746
418,6/10/21,0.0025598131,0,803,0,0,2544.583841,470.4161594,5981.865247,2630.134753,448.8233824,354.1766176
417,6/11/21,0.0016827488,0,635,0,0,1631.403172,301.5968279,3817.502484,1678.497516,354.9226001,280.0773999
416,6/12/21,0.0000189573,0,5,0,0,10.12769688,1.872303122,52.78933566,23.21066434,2.794666142,2.205333858
415,6/13/21,0.0024392990,0,758,0,0,2562.30731,473.6926898,5597.058773,2460.941227,423.6713872,334.3286128
414,6/14/21,0.0008501760,0,258,0,0,966.3510771,178.6489229,1899.026891,834.9731091,144.2047729,113.7952271
413,6/15/21,0.0000079311,0,2,0,0,1.68794948,0.31205052,24.31087827,10.68912173,1.117866457,0.882133543
412,6/16/21,0.0047108841,0,1564,0,0,4642.705044,858.2949561,10921.83571,4802.16429,874.1715693,689.8284307
411,6/17/21,0.0016848766,0,676,0,0,1600.176107,295.8238933,3793.886203,1668.113797,377.8388624,298.1611376
410,6/18/21,0.0020611206,0,687,0,0,1823.829413,337.1705872,4945.527236,2174.472764,383.9871279,303.0128721
409,6/19/21,0.0009410935,0,460,0,0,758.7332911,140.2667089,2115.741006,930.2589943,257.1092851,202.8907149
408,6/20/21,0.0016895192,0,515,0,0,1470.203997,271.7960032,4141.184464,1820.815536,287.8506127,227.1493873
